fecha;ventas;tv_ad98;p1ola1_ad40;p2ola1_ad40;p3_ola1_ad40;p4_ola1_ad40;p5_ola1_ad40;p1_ola2_ad40;p1_ola3_ad40;dp;ip;iip_p1;iip_p2;iip_p3;revistas_ad20;competencia1;competencia2;competencia3;competencia4
2016-08-08;8,19;2924,954852;1,533300000e+02;0,000000000e+00;0,000000000e+00;0,000000000e+00;0,000000000e+00;0,000000000e+00;0,0000000e+00;47;1,132053381;0,000000000;0,061050061;0,101343101;4,730484360e+02;0,000000000e+00;0,00000000000;0,016016016;0,000000000
2016-08-15;7,51;2866,455755;6,133200000e+01;0,000000000e+00;0,000000000e+00;0,000000000e+00;0,000000000e+00;0,000000000e+00;0,0000000e+00;44;1,274940072;0,000000000;0,069241012;0,105193076;9,460968719e+01;0,000000000e+00;0,00000000000;0,005668934;0,000000000
2016-08-22;6,55;2986,646640;2,025128000e+02;0,000000000e+00;0,000000000e+00;0,000000000e+00;0,000000000e+00;0,000000000e+00;0,0000000e+00;43;1,274997882;0,000000000;0,062595420;0,102290076;1,892193744e+01;0,000000000e+00;0,00000000000;0,003012048;0,000000000
2016-08-29;7,17;3101,888707;2,564801200e+02;0,000000000e+00;0,000000000e+00;0,000000000e+00;0,000000000e+00;0,000000000e+00;0,0000000e+00;43;1,275723106;0,000000000;0,062761506;0,099023710;3,784387488e+00;0,000000000e+00;0,00000000000;0,004341534;0,000000000
2016-09-05;6,94;3039,850933;1,025920480e+02;0,000000000e+00;0,000000000e+00;0,000000000e+00;0,000000000e+00;0,000000000e+00;0,0000000e+00;45;1,179253105;0,000000000;0,063400576;0,096541787;7,568774980e-01;0,000000000e+00;0,00000000000;0,004860267;0,000000000
2016-09-12;5,90;2979,053915;4,103681920e+01;0,000000000e+00;0,000000000e+00;0,000000000e+00;0,000000000e+00;0,000000000e+00;0,0000000e+00;43;1,195339672;0,000000000;0,032203390;0,144067797;1,513755000e-01;0,000000000e+00;0,00000000000;0,002257336;0,000000000
2016-09-19;5,37;2919,472836;1,641472768e+01;0,000000000e+00;0,000000000e+00;0,000000000e+00;0,000000000e+00;0,000000000e+00;0,0000000e+00;43;1,208555078;0,000000000;0,013035382;0,119180633;3,027510000e-02;0,000000000e+00;0,00000000000;0,005122951;0,000000000
2016-09-26;5,29;2861,083380;6,565891072e+00;0,000000000e+00;0,000000000e+00;0,000000000e+00;0,000000000e+00;0,000000000e+00;0,0000000e+00;40;1,153953284;0,001890359;0,003780718;0,119092628;6,055020000e-03;0,000000000e+00;0,00000000000;0,025987526;0,000000000
2016-10-03;6,14;2803,861712;2,626356429e+00;0,000000000e+00;0,000000000e+00;0,000000000e+00;0,000000000e+00;0,000000000e+00;0,0000000e+00;45;1,179798470;0,027687296;0,004885993;0,078175896;1,211004000e-03;0,000000000e+00;0,00000000000;0,067406143;0,000000000
2016-10-10;6,37;2747,784478;1,050542572e+00;0,000000000e+00;0,000000000e+00;0,000000000e+00;0,000000000e+00;0,000000000e+00;0,0000000e+00;44;1,173321671;0,031397174;0,010989011;0,127158556;2,422010000e-04;0,000000000e+00;0,00000000000;0,039473684;0,000000000
2016-10-17;6,21;2692,828788;4,202170290e-01;0,000000000e+00;0,000000000e+00;0,000000000e+00;0,000000000e+00;0,000000000e+00;0,0000000e+00;43;1,167328355;0,000000000;0,006441224;0,107890499;4,840000000e-05;0,000000000e+00;0,00000000000;0,016184971;0,000000000
2016-10-24;5,78;2638,972212;1,680868110e-01;0,000000000e+00;0,000000000e+00;0,000000000e+00;0,000000000e+00;0,000000000e+00;0,0000000e+00;41;1,475344725;0,000000000;0,020761246;0,102076125;9,690000000e-06;0,000000000e+00;0,00000000000;0,027196653;0,000000000
2016-10-31;5,82;2586,192768;6,723472500e-02;0,000000000e+00;0,000000000e+00;0,000000000e+00;0,000000000e+00;0,000000000e+00;0,0000000e+00;40;1,307874538;0,000000000;0,017182131;0,072164948;1,940000000e-06;0,000000000e+00;0,00000000000;0,012896825;0,000000000
2016-11-07;6,13;2534,468913;2,689389000e-02;0,000000000e+00;0,000000000e+00;0,000000000e+00;0,000000000e+00;0,000000000e+00;0,0000000e+00;44;1,190121449;0,000000000;0,017944535;0,083197390;4,657473334e+03;0,000000000e+00;0,00000000000;0,015625000;0,000000000
2016-11-14;6,12;2572,249535;1,075755600e-02;8,847000000e+01;0,000000000e+00;0,000000000e+00;0,000000000e+00;0,000000000e+00;0,0000000e+00;42;1,222098976;0,000000000;0,014705882;0,137254902;5,588968000e+03;0,000000000e+00;0,00000000000;0,024793388;0,300000000
2016-11-21;7,34;2682,804544;4,303022000e-03;1,973880000e+02;0,000000000e+00;0,000000000e+00;0,000000000e+00;0,000000000e+00;0,0000000e+00;44;1,277918618;0,000000000;0,012261580;0,081743869;5,775266933e+03;0,000000000e+00;0,00000000000;0,013972056;0,282608696
2016-11-28;8,44;2780,168453;1,721209000e-03;2,299752000e+02;0,000000000e+00;0,000000000e+00;0,000000000e+00;0,000000000e+00;0,0000000e+00;48;1,250737726;0,000000000;0,015402844;0,079383886;5,812526720e+03;0,000000000e+00;0,00000000000;0,010889292;0,251231527
2016-12-05;11,21;2902,585084;6,884840000e-04;2,700100800e+02;0,000000000e+00;0,000000000e+00;0,000000000e+00;0,000000000e+00;0,0000000e+00;51;1,233027793;0,000000000;0,030330062;0,092774309;9,999416849e+03;0,000000000e+00;0,00000000000;0,017160686;0,000000000
2016-12-12;8,17;2883,683382;2,753930000e-04;1,471540320e+02;0,000000000e+00;0,000000000e+00;0,000000000e+00;0,000000000e+00;0,0000000e+00;48;1,227893546;0,000000000;0,022031824;0,112607099;1,250857014e+04;0,000000000e+00;0,00000000000;0,025246981;0,000000000
2016-12-19;8,43;2826,009715;1,101570000e-04;5,886161280e+01;0,000000000e+00;0,000000000e+00;0,000000000e+00;0,000000000e+00;0,0000000e+00;49;1,202233401;0,000000000;0,037959668;0,097271649;1,301040080e+04;0,000000000e+00;0,00000000000;0,016456922;0,000000000
2016-12-26;7,71;2769,489520;4,410000000e-05;2,354464512e+01;0,000000000e+00;0,000000000e+00;0,000000000e+00;0,000000000e+00;0,0000000e+00;49;1,139941394;0,000000000;0,023346304;0,112840467;1,311076693e+04;0,000000000e+00;0,00000000000;0,015518914;0,000000000
2017-01-02;8,01;2714,099730;1,760000000e-05;9,417858048e+00;0,000000000e+00;0,000000000e+00;0,000000000e+00;0,000000000e+00;0,0000000e+00;52;1,115371298;0,000000000;0,036204744;0,121098627;1,012835823e+04;0,000000000e+00;0,00000000000;0,008806262;0,000000000
2017-01-09;7,94;2659,817735;7,050000000e-06;3,767143219e+00;0,000000000e+00;0,000000000e+00;0,000000000e+00;0,000000000e+00;0,0000000e+00;50;1,133634961;0,000000000;0,041561713;0,185138539;2,025671645e+03;0,000000000e+00;0,00000000000;0,012367491;0,000000000
2017-01-16;5,85;2606,621381;2,820000000e-06;1,506857288e+00;0,000000000e+00;0,000000000e+00;0,000000000e+00;0,000000000e+00;0,0000000e+00;45;1,210313581;0,006837607;0,023931624;0,136752137;4,051343290e+02;0,000000000e+00;0,00000000000;0,023612751;0,031428571
2017-01-23;5,83;2554,488953;1,130000000e-06;6,027429150e-01;0,000000000e+00;0,000000000e+00;0,000000000e+00;0,000000000e+00;0,0000000e+00;45;1,244870210;0,003430532;0,013722127;0,132075472;8,102686581e+01;0,000000000e+00;0,00000000000;0,008782936;0,040145985
2017-01-30;6,47;2503,399174;4,510000000e-07;2,410971660e-01;0,000000000e+00;0,000000000e+00;0,000000000e+00;0,000000000e+00;0,0000000e+00;44;1,241238114;0,000000000;0,020092736;0,191653787;1,620537316e+01;0,000000000e+00;0,00000000000;0,005612722;0,029411765
2017-02-06;6,87;2453,331190;1,800000000e-07;9,643886600e-02;0,000000000e+00;0,000000000e+00;0,000000000e+00;0,000000000e+00;0,0000000e+00;45;1,208504103;0,000000000;0,024745269;0,148471616;3,241074632e+00;0,000000000e+00;0,00000000000;0,002851033;0,000000000
2017-02-13;6,55;2404,264567;7,220000000e-08;3,857554700e-02;0,000000000e+00;0,000000000e+00;0,000000000e+00;0,000000000e+00;0,0000000e+00;43;1,164562778;0,000000000;0,042748092;0,114503817;6,482149260e-01;0,000000000e+00;0,00000000000;0,004528986;0,036496350
